_id,version,code,district_type_kh,district_type_en,name_en,reference,issued_date,prefix,name,city_provinces,createdAt,updatedAt,__v,note
404,1,404,ស្រុក,District,Kampong Leaeng,ប្រកាសលេខ៤៩៣ ប្រ.ក,2001-04-29T17:00:00.000+0000,202,កំពង់លែង,4,2020-09-07 01:59:43.399,2020-09-07 01:59:43.399,0,
209,1,209,ស្រុក,District,Samlout,លេខ​៤៩៣ប្រ.ក,2001-04-29T17:00:00.000+0000,202,សំឡូត,2,2020-09-07 01:59:43.401,2020-09-07 01:59:43.401,0,តាមប្រកាសរបស់ក្រសួងមហាផ្ទៃ
203,1,203,ក្រុង,Municipality,Battambang,"២២៣​អនក្រុ,បក",2008-12-29T17:00:00.000+0000,201,បាត់ដំបង,2,2020-09-07 01:59:43.399,2020-09-07 01:59:43.399,0,ពីមុនជាស្រុកបាត់ដំបង ​ឥឡូវប្ដូរមកជាក្រុងបាត់ដំបង
708,1,708,ក្រុង,Municipality,Kampot,អនុក្រឹត្យលេខ​ ២២១ អនក្រ.បក,2008-12-29T17:00:00.000+0000,201,កំពត,7,2020-09-07 01:59:43.400,2020-09-07 01:59:43.400,0,ត្រូវបានប្តូរស្រុកកំពង់បាយទៅជាក្រុងកំពត
1413,1,1413,ស្រុក,District,Svay Antor,០៩ អនក្រ.បក,2009-01-08T17:00:00.000+0000,202,ស្វាយអន្ទរ,14,2020-09-07 01:59:43.396,2020-09-07 01:59:43.396,0,ពីមុនជាស្រុកព្រៃវែង តែឥលូវត្រូវបានប្តូរទៅជាស្រុកស្វាយអន្ទរតាមអនុក្រឹងលេខ ០៩អនក្រ.បក
1506,1,1506,ស្រុក,District,Veal Veaeng,លេខ​៤៩៣​ប្រ.ក,2001-04-29T17:00:00.000+0000,202,វាលវែង,15,2020-09-07 01:59:43.397,2020-09-07 01:59:43.397,0,តាមប្រកាសរបស់ក្រសួងមហាផ្ទៃ
2501,1,2501,ស្រុក,District,Dambae,Royal Degree 1445,2013-12-30T17:00:00.000+0000,202,តំបែរ,25,2020-09-07 01:59:43.398,2020-09-07 01:59:43.398,0,Royal Degree 1445 on 31 Dec 2013 Move to Tboung Khmum
1409,1,1409,ស្រុក,District,Preah Sdach,លេខ​៤៩៣​ប្រ.ក,2001-04-29T17:00:00.000+0000,202,ព្រះស្ដេច,14,2020-09-07 01:59:43.396,2020-09-07 01:59:43.396,0,តាមប្រកាសរបស់ក្រសួងមហាផ្ទៃលេខ ៤៩៣ ប្រ.ក ចុះថ្ងៃទី៣០ ខែមេសា ឆ្នាំ២០០១
2402,1,2402,ស្រុក,District,Sala Krau,០៥​អនក្រ.បក​,2009-01-08T17:00:00.000+0000,202,សាលាក្រៅ,24,2020-09-07 01:59:43.398,2020-09-07 01:59:43.398,0,អនុក្រឹត្យ​ស្តីពី​ការប្តូរខណ្ឌ​នៃខេត្តប៉ៃលិនទៅជាក្រុង​និងជាស្រុក
1609,1,1609,ស្រុក,District,Veun Sai,ប្រកាសលេខ ៤៩៣ ប្រ.ក,2001-04-29T17:00:00.000+0000,202,វើនសៃ,16,2020-09-07 01:59:43.395,2020-09-07 01:59:43.395,0,
1406,1,1406,ស្រុក,District,Peam Chor,លេខ ៤៩៣ ប្រ.ក,2001-04-29T17:00:00.000+0000,202,ពាមជរ,14,2020-09-07 01:59:43.395,2020-09-07 01:59:43.395,0,តាមប្រកាសរបស់ក្រសួងមហាផ្ទៃលេខ ៤៩៣ ចុះថ្ងៃទី៣០ ខែមេសា ឆ្នាំ២០០១
