_id,list_no,districts,name,city_provinces,__v,createdAt,updatedAt,reference,status
60389ae534bbe619983cb313,1071,1401,វិ. បាភ្នំ,14,0,2021-02-26 06:53:25.856,2021-02-26 06:53:25.856,School list Khmer 2019-2020.xlsx,1.0
60389ae534bbe619983cb3c3,1247,1506,អនុ.តាំងយ៉រ,15,0,2021-02-26 06:53:25.864,2021-02-26 06:53:25.864,School list Khmer 2019-2020.xlsx,1.0
60389ae534bbe619983cb33f,1115,1405,អនុ. ព្រៃឃ្នេស,14,0,2021-02-26 06:53:25.858,2021-02-26 06:53:25.858,School list Khmer 2019-2020.xlsx,1.0
60389ae534bbe619983cb3a9,1221,1503,អនុ.ឈើទាល,15,0,2021-02-26 06:53:25.861,2021-02-26 06:53:25.861,School list Khmer 2019-2020.xlsx,1.0
60389ae534bbe619983cb318,1076,1401,អនុ. រោងដំរី,14,0,2021-02-26 06:53:25.856,2021-02-26 06:53:25.856,School list Khmer 2019-2020.xlsx,1.0
60389ae534bbe619983cb358,1140,1408,វិ.ហស.កំពង់ពពិល,14,0,2021-02-26 06:53:25.858,2021-02-26 06:53:25.858,School list Khmer 2019-2020.xlsx,1.0
60389ae534bbe619983cb36e,1162,1409,អនុ. ព្រៃទ័ព,14,0,2021-02-26 06:53:25.859,2021-02-26 06:53:25.859,School list Khmer 2019-2020.xlsx,1.0
60389ae534bbe619983cb36f,1163,1409,អនុ. រាធរ,14,0,2021-02-26 06:53:25.859,2021-02-26 06:53:25.859,School list Khmer 2019-2020.xlsx,1.0
60389ae534bbe619983cb321,1085,1402,អនុ. ស្មោង,14,0,2021-02-26 06:53:25.857,2021-02-26 06:53:25.857,School list Khmer 2019-2020.xlsx,1.0
60389ae534bbe619983cb2e9,1029,1303,អនុ. រំដោះស្រែ,13,0,2021-02-26 06:53:25.854,2021-02-26 06:53:25.854,School list Khmer 2019-2020.xlsx,1.0
60389ae534bbe619983cb3d8,1268,1604,អនុ.សិរីមង្គល,16,0,2021-02-26 06:53:25.865,2021-02-26 06:53:25.865,School list Khmer 2019-2020.xlsx,1.0
60389ae534bbe619983cb31b,1079,1401,អនុ. ស្ពឺ (ខ),14,0,2021-02-26 06:53:25.856,2021-02-26 06:53:25.856,School list Khmer 2019-2020.xlsx,1.0
60389ae534bbe619983cb409,1317,1706,អនុ.  សំបូរ,17,0,2021-02-26 06:53:25.866,2021-02-26 06:53:25.866,School list Khmer 2019-2020.xlsx,1.0
60389ae534bbe619983cb420,1340,1709,វិ. ស្វាយធំ,17,0,2021-02-26 06:53:25.867,2021-02-26 06:53:25.867,School list Khmer 2019-2020.xlsx,1.0
60389ae534bbe619983cb2ff,1051,1305,អនុ.ហស.រវៀង,13,0,2021-02-26 06:53:25.855,2021-02-26 06:53:25.855,School list Khmer 2019-2020.xlsx,1.0
