_id,__v,createdAt,sequence,updatedAt,courses
60e036a4cbbec8f807f48ca5,0,2021-07-03 10:06:28.560,3,2021-09-25 14:39:28.051,60d6dcf73d549f33ea099645
60e03794cbbec8f807f54ca8,0,2021-07-03 10:10:28.759,5,2021-09-24 00:40:21.837,60d6969b65b882e577d9a6d8
60e037e3cbbec8f807f6e7d0,0,2021-07-03 10:11:47.646,3,2021-09-23 17:19:33.196,60d6d93312cae8e759e81d87
60e0385bcbbec8f807f867be,0,2021-07-03 10:13:47.776,4,2021-09-24 05:08:39.901,60d6a8fb913a9223a47a2c46
60e038cdcbbec8f807f87399,0,2021-07-03 10:15:41.547,3,2021-09-24 02:37:37.279,60d6a0d9f8c2690af34e8473
60e038e6cbbec8f807f87454,0,2021-07-03 10:16:06.749,2,2021-09-23 18:22:47.493,60d58535b3e109b0c977af8d
60e038f6cbbec8f807f874d6,0,2021-07-03 10:16:22.375,4,2021-09-23 19:50:51.415,60d58eea59cbe1bdefc1875d
60e039b9cbbec8f807f8addd,0,2021-07-03 10:19:37.823,7,2021-09-24 13:04:45.511,60d5950a6742613575f2f1a4
60e05a22cbbec8f807017803,0,2021-07-03 12:37:54.493,24,2021-09-25 02:30:29.512,60d01e0e86997de78c67ed99
60e05a2bcbbec8f807017858,0,2021-07-03 12:38:03.057,6,2021-07-04 14:48:22.606,
60e05acecbbec8f807017d4c,0,2021-07-03 12:40:46.456,4,2021-07-06 04:30:05.311,
60e06b64cbbec8f80701f901,0,2021-07-03 13:51:32.639,9,2021-09-24 16:20:59.418,
60e06c6bcbbec8f8070203dc,0,2021-07-03 13:55:55.210,22,2021-09-24 09:48:03.463,
60e07e1ecbbec8f80702a03c,0,2021-07-03 15:11:26.665,3,2021-09-24 11:07:31.263,60d016892f8db7e794c0338e
60e07e39cbbec8f80702a0f5,0,2021-07-03 15:11:53.160,7,2021-09-23 22:53:52.852,60cef9043ddad08ba4e565c8
60e07e5fcbbec8f80702a352,0,2021-07-03 15:12:31.211,8,2021-09-25 01:40:10.954,60cee6ed206f6ae5806ab07f
60e07ed0cbbec8f80702a62a,0,2021-07-03 15:14:24.436,11,2021-09-24 03:50:42.989,60d04fdf65b882e577d622b3
60e07ef5cbbec8f80702a763,0,2021-07-03 15:15:01.220,4,2021-09-24 18:26:43.858,60d01cad36216de3836dc65d
60e07f54cbbec8f80702ab20,0,2021-07-03 15:16:36.370,4,2021-09-24 12:39:29.757,60d06005c20f0de793a7d156
60e08088cbbec8f80702b66e,0,2021-07-03 15:21:44.111,13,2021-09-24 23:55:27.217,60d097f9e1a608e7869c52c2
60e0851acbbec8f80702df3f,0,2021-07-03 15:41:14.319,6,2021-09-24 18:04:04.491,60d05f0393656ce7950b098f
