_id,course_contents,students,__v,createdAt,is_completed,quiz,status,updatedAt,to_resume,watch_duration
609a19b4dfd028e106fbecc9,6099f943fb46dc238dcfcb29,6098dab798a1111330b7623c,0,2021-05-11 05:44:20.038,False,[],1.0,2021-05-11 05:49:40.030,75.0,230.0
609a1b32dfd028e106fc10fe,6099fbc76d3ba12100e6d5f7,6098dab798a1111330b7623c,0,2021-05-11 05:50:42.883,False,[],1.0,2021-05-11 05:50:59.868,80.0,80.0
609a1b4adfd028e106fc11fc,6099ff1ee803d120b85ec0b4,6098dab798a1111330b7623c,0,2021-05-11 05:51:06.192,False,[],1.0,2021-05-11 05:51:55.654,195.0,195.0
609a2b0edfd028e106039762,6098cd1dada1c61054aba5d9,6098dab798a1111330b7623c,0,2021-05-11 06:58:22.352,False,[],1.0,2021-05-11 06:59:52.257,95.0,95.0
609a2b90dfd028e10603f0f1,6098cd1dada1c61054aba5d9,609a2ae9759b4720d1ece6c4,0,2021-05-11 07:00:32.640,False,[],1.0,2021-05-11 07:05:32.361,515.0,515.0
609a2c16dfd028e10604254a,6099ed8324353d239ecdbf0a,6098dab798a1111330b7623c,0,2021-05-11 07:02:46.118,False,[],1.0,2021-05-11 07:03:14.673,895.0,895.0
609a5504dfd028e106198b4b,6098c4ff84286213144b4543,609a5468f1da7321f5f94d55,0,2021-05-11 09:57:24.632,False,[],1.0,2021-05-11 09:57:24.632,5.0,5.0
609a550ddfd028e106198f7e,6098cdbd44f6bf1049971edc,609a5468f1da7321f5f94d55,0,2021-05-11 09:57:33.176,False,[],1.0,2021-05-11 09:57:33.176,5.0,5.0
609a5533dfd028e106199fe6,6098c7496178631326a3f63d,609a5468f1da7321f5f94d55,0,2021-05-11 09:58:11.144,False,[],1.0,2021-05-11 16:29:09.779,545.0,545.0
609a8cf9dfd028e1063ce486,6098cd1dada1c61054aba5d9,609a8bda0da1ae20f6d4535b,0,2021-05-11 13:56:09.853,False,[],1.0,2021-05-11 13:57:59.846,115.0,115.0
609a8da9dfd028e1063dc9ff,6099e02ad5c7ff20b23f9892,609a8bda0da1ae20f6d4535b,0,2021-05-11 13:59:05.659,False,[],1.0,2021-05-11 14:03:05.631,245.0,245.0
609a8f20dfd028e106403316,6098c457d94610c6634eccae,609a8bda0da1ae20f6d4535b,0,2021-05-11 14:05:20.756,False,[],1.0,2021-05-11 14:05:35.885,20.0,20.0
609ab0ccdfd028e1064a0e59,6099e4d814dca82233ec8661,609a5468f1da7321f5f94d55,0,2021-05-11 16:29:00.237,False,[],1.0,2021-05-11 16:29:05.192,10.0,10.0
609b2b17dfd028e106521057,6098d59723a6ae1348ac2eb5,6098d6f5a6240712fd2b8ae2,0,2021-05-12 01:10:47.847,False,[],1.0,2021-05-12 01:43:09.267,50.0,395.0
609b2b69dfd028e106526c81,609a592749865223af428b75,6098d6f5a6240712fd2b8ae2,0,2021-05-12 01:12:09.621,False,[],1.0,2021-05-12 01:13:40.182,95.0,95.0
609b7681dfd028e1069220e0,6098f25e52ca27131ecd2498,6095728f83c32a0468b97de0,0,2021-05-12 06:32:33.303,False,[],1.0,2021-05-12 06:32:49.699,225.0,225.0
609b7d65dfd028e1069d9a23,609b25b4f1da7321f5f9744a,6098d70301c156105d56a587,0,2021-05-12 07:01:57.796,False,[],1.0,2021-05-12 07:01:57.796,5.0,5.0
609b7d6fdfd028e1069d9bc1,609b27899fd21b23c349507b,6098d70301c156105d56a587,0,2021-05-12 07:02:07.721,False,[],1.0,2021-05-12 07:02:07.721,5.0,5.0
609b7d7adfd028e1069daf2f,609a3b9758404120e037be0b,6098d70301c156105d56a587,0,2021-05-12 07:02:18.144,False,[],1.0,2021-05-12 07:02:23.137,10.0,10.0
609b7d85dfd028e1069de25c,609b4f3cdc5f8522099890f5,6098d70301c156105d56a587,0,2021-05-12 07:02:29.449,False,[],1.0,2021-05-12 07:03:27.896,60.0,60.0
609be558dfd028e106d8dacd,6098b85a23a6ae1348ac2ea0,6098dab798a1111330b7623c,0,2021-05-12 14:25:28.363,False,[],1.0,2021-05-12 14:29:38.246,255.0,255.0
609bf80cdfd028e106dc5257,609b2e5e14dca82233ecb12a,6095728f83c32a0468b97de0,0,2021-05-12 15:45:16.406,False,[],1.0,2021-05-12 15:45:31.370,20.0,20.0
609bf818dfd028e106dc5b3d,609a35b0d4924a2203109168,6097da08a3d06d13536860b5,0,2021-05-12 15:45:28.070,False,[],1.0,2021-05-12 16:04:08.658,1120.0,1120.0
609bf823dfd028e106dc5b96,609b8d16764931920e60c82c,6095728f83c32a0468b97de0,0,2021-05-12 15:45:39.051,False,[],1.0,2021-05-12 15:47:04.065,930.0,930.0
