_id,bucket_name,filename,filename_video,original_id,status,message,createdAt,updatedAt,__v,creating_at,processing_at,finished_at
61332cf8ed2b4b3af2725546,file_course_datas,61332cf3afc69442bb847d9d_1630743800484.m3u8,61332cf3afc69442bb847d9d_1630743800398.m3u8,61332cf3afc69442bb847d9d,Success,Finished generate thumbnails,2021-09-04 08:23:20.491,2021-09-04 08:23:47.256,0,2021-09-04 08:23:20.485,2021-09-04 08:23:21.950,2021-09-04 08:23:47.248
61332d49bb271bf82a556c1b,file_course_datas,61332d47dc2ad695b3e211a7_1630743881546.m3u8,61332d47dc2ad695b3e211a7_1630743881501.m3u8,61332d47dc2ad695b3e211a7,Success,Finished generate thumbnails,2021-09-04 08:24:41.557,2021-09-04 08:25:09.832,0,2021-09-04 08:24:41.547,2021-09-04 08:24:42.129,2021-09-04 08:25:09.824
61332d4eb666974a81fb7dfb,file_course_datas,61332d4a7ec98e9cedfc79cb_1630743886889.m3u8,61332d4a7ec98e9cedfc79cb_1630743886807.m3u8,61332d4a7ec98e9cedfc79cb,Success,Finished generate thumbnails,2021-09-04 08:24:46.898,2021-09-04 08:25:12.353,0,2021-09-04 08:24:46.890,2021-09-04 08:24:48.298,2021-09-04 08:25:12.345
61332d593b70833adb74ad93,file_course_datas,61332d55d5ca509cf453358c_1630743897285.m3u8,61332d55d5ca509cf453358c_1630743897221.m3u8,61332d55d5ca509cf453358c,Success,Finished generate thumbnails,2021-09-04 08:24:57.292,2021-09-04 08:25:24.913,0,2021-09-04 08:24:57.286,2021-09-04 08:24:58.549,2021-09-04 08:25:24.905
61332d865ea79df834a276ae,file_course_datas,61332d82e8eb55a2a74c70ce_1630743942025.m3u8,61332d82e8eb55a2a74c70ce_1630743941929.m3u8,61332d82e8eb55a2a74c70ce,Success,Finished generate thumbnails,2021-09-04 08:25:42.033,2021-09-04 08:26:10.339,0,2021-09-04 08:25:42.026,2021-09-04 08:25:43.015,2021-09-04 08:26:10.327
61332db6a047714a7b55c9b2,file_course_datas,61332db4993f3698d1a0e73b_1630743990459.m3u8,61332db4993f3698d1a0e73b_1630743990390.m3u8,61332db4993f3698d1a0e73b,Success,Finished generate thumbnails,2021-09-04 08:26:30.466,2021-09-04 08:26:45.296,0,2021-09-04 08:26:30.460,2021-09-04 08:26:30.990,2021-09-04 08:26:45.294
61332de45eaf0c3ae93902d5,file_course_datas,61332de2b1f24742d5b2e44a_1630744036491.m3u8,61332de2b1f24742d5b2e44a_1630744036414.m3u8,61332de2b1f24742d5b2e44a,Success,Finished generate thumbnails,2021-09-04 08:27:16.499,2021-09-04 08:27:42.011,0,2021-09-04 08:27:16.492,2021-09-04 08:27:17.070,2021-09-04 08:27:42.003
61332e07a74658f8248eb72e,file_course_datas,61332e0242ae9ca2ee5d4c34_1630744071798.m3u8,61332e0242ae9ca2ee5d4c34_1630744071739.m3u8,61332e0242ae9ca2ee5d4c34,Success,Finished generate thumbnails,2021-09-04 08:27:51.805,2021-09-04 08:28:23.437,0,2021-09-04 08:27:51.799,2021-09-04 08:27:53.258,2021-09-04 08:28:23.429
61332e1cfde1b14a6b1eaba1,file_course_datas,61332e13e8eb55a2a74c7355_1630744092066.m3u8,61332e13e8eb55a2a74c7355_1630744091989.m3u8,61332e13e8eb55a2a74c7355,Success,Finished generate thumbnails,2021-09-04 08:28:12.077,2021-09-04 08:28:54.639,0,2021-09-04 08:28:12.067,2021-09-04 08:28:14.626,2021-09-04 08:28:54.631
61332e38d9ded13adc0902b3,file_course_datas,61332e368bac3842c88fef21_1630744120155.m3u8,61332e368bac3842c88fef21_1630744120102.m3u8,61332e368bac3842c88fef21,Success,Finished generate thumbnails,2021-09-04 08:28:40.158,2021-09-04 08:29:05.608,0,2021-09-04 08:28:40.156,2021-09-04 08:28:40.778,2021-09-04 08:29:05.600
