_id,status,sender_staffs,notification_type,message,receiver_students,announcements,__v,createdAt,updatedAt
60dae06202c9e67053c05d9e,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,6098d6d460c9d01330ba6ea0,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.132,2021-06-29 08:57:06.132
60dae06202c9e67053c05d66,2,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,60d56e873ddad08ba4e81183,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.126,2021-07-01 01:01:59.978
60dae06202c9e67053c05da2,2,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,6097d9dfa33c5c13108d70fe,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.132,2021-07-16 07:43:35.958
60dae06202c9e67053c05d7f,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,60b2fae7ad913a6579b1866e,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.129,2021-06-29 08:57:06.129
60dae06202c9e67053c05d99,2,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,6098f1e8beba6010775ff57e,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.131,2021-07-06 08:01:24.546
60dae06202c9e67053c05d9b,2,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,6098d8a0a33c5c13108d8ee0,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.132,2021-07-03 08:42:30.313
60dae06202c9e67053c05d64,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,60d5c85f11409ff2cb723ce1,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.126,2021-06-29 08:57:06.126
60dae06202c9e67053c05d73,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,60d2085ded8ee5e74ad730d8,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.127,2021-06-29 08:57:06.127
60dae06202c9e67053c05d82,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,60acc7e20fde2d6731eb4665,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.129,2021-06-29 08:57:06.129
60dae06202c9e67053c05d8e,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,609e14ec24353d239ecfb7bd,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.130,2021-06-29 08:57:06.130
60dae06202c9e67053c05da3,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,6097d9a12f4c41131d66b8b1,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.132,2021-06-29 08:57:06.132
60dae06202c9e67053c05d63,2,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,60d68de5147675465092b0ae,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.126,2021-07-01 08:32:29.255
60dae06202c9e67053c05d6e,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,60d40bbc22d53fdd78351982,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.127,2021-06-29 08:57:06.127
60dae06202c9e67053c05d6f,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,60d3ed376742613575f2175b,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.127,2021-06-29 08:57:06.127
60dae06202c9e67053c05d7d,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,60b62569b84b7b67b6b10b1b,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.129,2021-06-29 08:57:06.129
60dae06202c9e67053c05d97,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,609a2ae9759b4720d1ece6c4,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.131,2021-06-29 08:57:06.131
60dae06202c9e67053c05d7e,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,60b5e12337fe2467bc0c796e,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.129,2021-06-29 08:57:06.129
60dae06202c9e67053c05d96,2,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,609a5468f1da7321f5f94d55,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.131,2021-06-29 11:11:05.993
60dae06202c9e67053c05d60,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,60d994261ede65e5b012a8c0,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.125,2021-06-29 08:57:06.125
