_id,version,code,commune_type_kh,commune_type_en,name_en,reference,prefix,issued_date,name,districts,createdAt,updatedAt,__v,note
220403,1,220403,សង្កាត់,Sangkat,Koun Kriel,ប្រកាសលេខ ១៧ អនក្រ.បក,302,2009-01-08T17:00:00.000+0000,កូនក្រៀល,2204,2020-09-07 02:23:18.688,2020-09-07 02:23:18.688,0,
140704,1,140704,ឃុំ,Commune,Peam Mean Chey,តាមប្រកាសលេខ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,ពាមមានជ័យ,1407,2020-09-07 02:23:18.689,2020-09-07 02:23:18.689,0,តាមប្រកាសក្រសួងមហាផ្ទៃ
200510,1,200510,ឃុំ,Commune,Kraol Kou,តាមប្រកាសលេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,ក្រោលគោ,2005,2020-09-07 02:23:18.689,2020-09-07 02:23:18.689,0,តាមប្រកាសរបស់ក្រសួងមហាផ្ទៃ
170607,1,170607,ឃុំ,Commune,Saen Sokh,លេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,សែនសុខ,1706,2020-09-07 02:23:18.689,2020-09-07 02:23:18.689,0,
200304,1,200304,ឃុំ,Commune,Chrung Popel,៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,ជ្រុងពពេល,2003,2020-09-07 02:23:18.689,2020-09-07 02:23:18.689,0,តាមប្រកាសរបស់ក្រសួងមហាផ្ទៃ
140701,1,140701,ឃុំ,Commune,Ba Baong,តាមប្រកាសលេខ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,បាបោង,1407,2020-09-07 02:23:18.689,2020-09-07 02:23:18.689,0,តាមប្រកាសក្រសួងមហាផ្ទៃ
150402,1,150402,ឃុំ,Commune,Leach,លេខ​៤៩៣​ប្រ.ក,301,2001-03-29T17:00:00.000+0000,លាច,1504,2020-09-07 02:23:18.689,2020-09-07 02:23:18.689,0,តាមប្រកាសរបស់ក្រសួងមហាផ្ទៃ
150203,1,150203,ឃុំ,Commune,Kandieng,លេខ​៤៩៣​ប្រ.ក,301,2001-04-29T17:00:00.000+0000,កណ្ដៀង,1502,2020-09-07 02:23:18.693,2020-09-07 02:23:18.693,0,តាមប្រកាសរបស់ក្រសួងមហាផ្ទៃ
210302,1,210302,ឃុំ,Commune,Chey Chouk,លេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,ជ័យជោគ,2103,2020-09-07 02:23:18.696,2020-09-07 02:23:18.696,0,តាមប្រកាសក្រសួងមហាផ្ទៃ
40809,1,40809,ឃុំ,Commune,Kdol Saen Chey,អនុក្រឹត្យលេខ ១៥២ អនក្រ.បក,301,2016-07-17T17:00:00.000+0000,ក្តុលសែនជ័យ,408,2020-09-07 02:23:18.704,2020-09-07 02:23:18.704,0,អនុក្រឹត្យ ១៥២ អនក្រ.បក ឃុំបង្កើតថ្មី ថ្ងៃទី​១៨ កក្កដា ២០១៦
140402,1,140402,ឃុំ,Commune,Kanhchriech,៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,កញ្ជ្រៀច,1404,2020-09-07 02:23:18.700,2020-09-07 02:23:18.700,0,តាមប្រកាសរបស់ក្រសួងមហាផ្ទៃលេខ ៤៩៣ ប្រ.ក ចុះថ្ងៃទី៣០ ខែមេសា ឆ្នាំ២០០១
171304,1,171304,ឃុំ,Commune,Svay Leu,,301,,ស្វាយលើ,1713,2020-09-07 02:23:18.700,2020-09-07 02:23:18.700,0,
170713,1,170713,ឃុំ,Commune,Samraong Yea,លេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,សំរោងយា,1707,2020-09-07 02:23:18.691,2020-09-07 02:23:18.691,0,
200703,1,200703,ឃុំ,Commune,Kandieng Reay,ប្រកាសលេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,កណ្ដៀងរាយ,2007,2020-09-07 02:23:18.692,2020-09-07 02:23:18.692,0,
190301,1,190301,ឃុំ,Commune,Preaek Meas,ប្រកាសលេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,ព្រែកមាស,1903,2020-09-07 02:23:18.700,2020-09-07 02:23:18.700,0,
210401,1,210401,ឃុំ,Commune,Angk Prasat,លេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,អង្គប្រាសាទ,2104,2020-09-07 02:23:18.693,2020-09-07 02:23:18.693,0,តាមប្រកាសក្រសួងមហាផ្ទៃ
140703,1,140703,ឃុំ,Commune,Neak Loeang,តាមប្រកាសលេខ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,អ្នកលឿង,1407,2020-09-07 02:23:18.698,2020-09-07 02:23:18.698,0,តាមប្រកាសក្រសួងមហាផ្ទៃ
250602,1,250602,សង្កាត់,Sangkat,Vihear Luong,Royal Degree 1445 on 31 Dec 2013 Move to Tboung Khmum,302,2013-12-30T17:00:00.000+0000,វិហារលួង,2506,2020-09-07 02:23:18.704,2020-09-07 02:23:18.704,0,Royal Degree 1445 on 31 Dec 2013 Move to Tboung Khmum
60303,1,60303,សង្កាត់,Sangkat,Kampong Roteh,អនុក្រឹតលេខ ១៥ អនក្រ.បក,302,2009-01-08T17:00:00.000+0000,កំពង់រទេះ,603,2020-09-07 02:23:18.704,2020-09-07 02:23:18.704,0,
150208,1,150208,ឃុំ,Commune,Sya,លេខ​៤៩៣​ប្រ.ក,301,2001-04-29T17:00:00.000+0000,ស្យា,1502,2020-09-07 02:23:18.692,2020-09-07 02:23:18.692,0,តាមប្រកាសរបស់ក្រសួងមហាផ្ទៃ
130205,1,130205,ឃុំ,Commune,Mlu Prey Muoy,លេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,ម្លូព្រៃមួយ,1302,2020-09-07 02:23:18.684,2020-09-07 02:23:18.684,0,
130504,1,130504,ឃុំ,Commune,Rung Roeang,លេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,រុងរឿង,1305,2020-09-07 02:23:18.686,2020-09-07 02:23:18.686,0,
100307,1,100307,ឃុំ,Commune,Saob,,301,,សោប,1003,2020-09-07 02:23:18.687,2020-09-07 02:23:18.687,0,
120112,1,120112,សង្កាត់,Sangkat,Phsar Daeum Thkov,ប្រកាសលេខ ៤៩៣ ប្រ.ក,302,2001-04-29T17:00:00.000+0000,ផ្សារដើមថ្កូវ,1201,2020-09-07 02:23:18.683,2020-09-07 02:23:18.683,0,
110401,1,110401,ឃុំ,Commune,Krang Teh,លេខប្រកាស ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,ក្រង់តេះ,1104,2020-09-07 02:23:18.684,2020-09-07 02:23:18.684,0,
121208,1,121208,សង្កាត់,Sangkat,Preaek Thmei,Sub Degree 579 on 25 Dec 2013 Move to Chbar Ampov,302,2013-12-24T17:00:00.000+0000,ព្រែកថ្មី,1212,2020-09-07 02:23:18.687,2020-09-07 02:23:18.687,0,Sub Degree 579 on 25 Dec 2013 Move to Chbar Ampov
130505,1,130505,ឃុំ,Commune,Rik Reay,លេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,រីករាយ,1305,2020-09-07 02:23:18.683,2020-09-07 02:23:18.683,0,
121105,1,121105,សង្កាត់,Sangkat,Ponsang,Sub Degree 578 on 25 Dec 2013 Move to Praek Pnov,302,2013-12-24T17:00:00.000+0000,ពន្សាំង,1211,2020-09-07 02:23:18.686,2020-09-07 02:23:18.686,0,Sub Degree 578 on 25 Dec 2013 Move to Praek Pnov
130101,1,130101,ឃុំ,Commune,S'ang,លេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,ស្អាង,1301,2020-09-07 02:23:18.683,2020-09-07 02:23:18.683,0,
130705,1,130705,ឃុំ,Commune,Prame,លេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,ប្រមេរុ,1307,2020-09-07 02:23:18.683,2020-09-07 02:23:18.683,0,
130603,1,130603,ឃុំ,Commune,Phnum Tbaeng Muoy,លេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,ភ្នំត្បែងមួយ,1306,2020-09-07 02:23:18.683,2020-09-07 02:23:18.683,0,
120714,1,120714,សង្កាត់,Sangkat,Tuol Sangkae 2,អនុក្រឹត្យ ១៤៨ អនក្រ.បក,302,2016-07-17T17:00:00.000+0000,ទួលសង្កែទី២,1207,2020-09-07 02:23:18.687,2020-09-07 02:23:18.687,0,បំបែកចេញពីសង្កាត់ទួលសង្កែ
100502,1,100502,ឃុំ,Commune,Pir Thnu,ប្រកាសលេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,ពីរធ្នូ,1005,2020-09-07 02:23:18.687,2020-09-07 02:23:18.687,0,
130304,1,130304,ឃុំ,Commune,Rumdaoh Srae,លេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,រំដោះស្រែ,1303,2020-09-07 02:23:18.688,2020-09-07 02:23:18.688,0,
110502,1,110502,សង្កាត់,Sangkat,Sokh Dom,តាមអនុក្រឹតលេខ ២២៦ អនក្រ.បក,302,2008-12-29T17:00:00.000+0000,សុខដុម,1105,2020-09-07 02:23:18.684,2020-09-07 02:23:18.684,0,
140109,1,140109,ឃុំ,Commune,Theay,តាមប្រកាសលេខ ៤៩៣ប្រ.ក,301,2001-04-29T17:00:00.000+0000,ធាយ,1401,2020-09-07 02:23:18.684,2020-09-07 02:23:18.684,0,តាមប្រកាសក្រសួងមហាផ្ទៃ
121402,1,121402,សង្កាត់,Sangkat,Kantaok,"អនុក្រឹត្យលេខ០៤ អនក្រ.បក, អនុក្រិតលេខ ៨០",302,2019-01-07T17:00:00.000+0000,កន្ទោក,1214,2020-09-07 02:23:18.685,2020-09-07 02:23:18.685,0,កាត់ទៅខណ្ឌកំបូល
190203,1,190203,ឃុំ,Commune,Kaoh Sralay,ប្រកាសលេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,កោះស្រឡាយ,1902,2020-09-07 02:23:18.689,2020-09-07 02:23:18.689,0,
141103,1,141103,ឃុំ,Commune,Preaek Chrey,តាមប្រកាសលេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,ព្រែកជ្រៃ,1411,2020-09-07 02:23:18.689,2020-09-07 02:23:18.689,0,តាមប្រកាសរបស់ក្រសួងមហាផ្ទៃលេខ​ ៤៩៣​ ប្រ.ក​ចុះថ្ងៃទី៣០ ​ខែមេសា​ឆ្នាំ២០០១
140902,1,140902,ឃុំ,Commune,Banteay Chakrei,តាមប្រកាសលេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,បន្ទាយចក្រី,1409,2020-09-07 02:23:18.696,2020-09-07 02:23:18.696,0,តាមប្រកាសក្រសួងមហាផ្ទៃ
140501,1,140501,ឃុំ,Commune,Angkor Sar,លេខ​៤៩៣​ប្រ.ក,301,2001-04-29T17:00:00.000+0000,អង្គរសរ,1405,2020-09-07 02:23:18.697,2020-09-07 02:23:18.697,0,តាមប្រកាសក្រសួងមហាផ្ទៃ
140403,1,140403,ឃុំ,Commune,Kdoeang Reay,លេខ​៤៩៣​ប្រ.ក,301,2001-04-29T17:00:00.000+0000,ក្ដឿងរាយ,1404,2020-09-07 02:23:18.700,2020-09-07 02:23:18.700,0,តាមប្រកាសក្រសួងមហាផ្ទៃ
30112,1,30112,ឃុំ,Commune,Tumnob,ប្រកាសលេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,ទំនប់,301,2020-09-07 02:23:18.705,2020-09-07 02:23:18.705,0,
200603,1,200603,សង្កាត់,Sangkat,Koy Trabaek,១២ អនក្រ.បក,302,2009-01-08T17:00:00.000+0000,គយត្របែក,2006,2020-09-07 02:23:18.691,2020-09-07 02:23:18.691,0,ដែលពីមុនស្ថិតនៅក្នុងស្រុកស្វាយរៀង
210407,1,210407,ឃុំ,Commune,Phnum Den,លេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,ភ្នំដិន,2104,2020-09-07 02:23:18.696,2020-09-07 02:23:18.696,0,តាមប្រកាសក្រសួងមហាផ្ទៃ
60401,1,60401,ឃុំ,Commune,Doung,លេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,ដូង,604,2020-09-07 02:23:18.700,2020-09-07 02:23:18.700,0,
170608,1,170608,ឃុំ,Commune,Snuol,លេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,ស្នួល,1706,2020-09-07 02:23:18.693,2020-09-07 02:23:18.693,0,
170305,1,170305,ឃុំ,Commune,Run Ta Aek,ប្រកាសលេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,រុនតាឯក,1703,2020-09-07 02:23:18.701,2020-09-07 02:23:18.701,0,
200212,1,200212,ឃុំ,Commune,Tnaot,៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,ត្នោត,2002,2020-09-07 02:23:18.690,2020-09-07 02:23:18.690,0,តាមប្រកាសរបស់ក្រសួងមហាផ្ទៃ
141004,1,141004,សង្កាត់,Sangkat,Ta Kao,អនុក្រឹត្យលេខ០៨ អនក្រ.បក,302,2019-01-07T17:00:00.000+0000,តាកោ,1410,2020-09-07 02:23:18.692,2020-09-07 02:23:18.692,0,កាត់ទៅក្រុងព្រៃវែង
130106,1,130106,ឃុំ,Commune,Putrea,លេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,ពុទ្រា,1301,2020-09-07 02:23:18.686,2020-09-07 02:23:18.686,0,
121203,1,121203,សង្កាត់,Sangkat,Nirouth,Sub Degree 579 on 25 Dec 2013 Move to Chbar Ampov,302,2013-12-24T17:00:00.000+0000,និរោធ,1212,2020-09-07 02:23:18.685,2020-09-07 02:23:18.685,0,Sub Degree 579 on 25 Dec 2013 Move to Chbar Ampov
130204,1,130204,ឃុំ,Commune,Sangkae Pir,លេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,សង្កែពីរ,1302,2020-09-07 02:23:18.688,2020-09-07 02:23:18.688,0,
100306,1,100306,ឃុំ,Commune,Russey Keo,ប្រកាសលេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,ឫស្សីកែវ,1003,2020-09-07 02:23:18.684,2020-09-07 02:23:18.684,0,
130102,1,130102,ឃុំ,Commune,Tasu,លេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,តស៊ូ,1301,2020-09-07 02:23:18.686,2020-09-07 02:23:18.686,0,
