_id,bucket_name,filename,original_id,encoder,protocol,status,message,createdAt,updatedAt,__v
613322195a6f4436ff1cb1eb,file_course_datas,61331bc342ae9ca2ee5d3bca_1630739396867.m3u8,61331bc342ae9ca2ee5d3bca,libx264,HLS_APPENDS,Success,Success encoding video,2021-09-04 07:36:57.576,2021-09-04 07:36:57.576,0
613322baf40d6bc8768a216e,file_course_datas,61331a2cc1ba18a2d63c1118_1630738997627.m3u8,61331a2cc1ba18a2d63c1118,libx264,HLS_APPENDS,Success,Success encoding video,2021-09-04 07:39:38.439,2021-09-04 07:39:38.439,0
613322cd84e26dd9a7e1e9af,file_course_datas,61331d24747b8142c7cd5e5c_1630739750128.m3u8,61331d24747b8142c7cd5e5c,libx264,HLS_APPENDS,Success,Success encoding video,2021-09-04 07:39:57.039,2021-09-04 07:39:57.039,0
6133231cb97073d99a3b30c2,file_course_datas,61331cccd5ca509cf4531639_1630739665593.m3u8,61331cccd5ca509cf4531639,libx264,HLS_APPENDS,Success,Success encoding video,2021-09-04 07:41:16.985,2021-09-04 07:41:16.985,0
6133235942ab77f22fe1f846,file_course_datas,61331cfaafc69442bb846c29_1630739708046.m3u8,61331cfaafc69442bb846c29,libx264,HLS_APPENDS,Success,Success encoding video,2021-09-04 07:42:17.295,2021-09-04 07:42:17.295,0
6133238039c5adc8665de71f,file_course_datas,61331b8b90e68042e4bf96af_1630739340617.m3u8,61331b8b90e68042e4bf96af,libx264,HLS_APPENDS,Success,Success encoding video,2021-09-04 07:42:56.267,2021-09-04 07:42:56.267,0
61332398230b03a2a45be82b,file_course_datas,61331cdabd0aaa9cfb0172c1_1630739675822.m3u8,61331cdabd0aaa9cfb0172c1,libx264,HLS_APPENDS,Success,Success encoding video,2021-09-04 07:43:20.681,2021-09-04 07:43:20.681,0
613323c2f96e1cb37d3757c5,file_course_datas,613318e87ec98e9cedfc5fb7_1630738673642.m3u8,613318e87ec98e9cedfc5fb7,libx264,HLS_APPENDS,Success,Success encoding video,2021-09-04 07:44:02.552,2021-09-04 07:44:02.552,0
613323e41e6f48c54311dbfc,file_course_datas,61331d423715e898f0736af5_1630739780292.m3u8,61331d423715e898f0736af5,libx264,HLS_APPENDS,Success,Success encoding video,2021-09-04 07:44:36.223,2021-09-04 07:44:36.223,0
613324004721dbf2120e3fff,file_course_datas,61331d53eed6ba98c2520aae_1630739796603.m3u8,61331d53eed6ba98c2520aae,libx264,HLS_APPENDS,Success,Success encoding video,2021-09-04 07:45:04.839,2021-09-04 07:45:04.839,0
6133240df8430654627689e8,file_course_datas,613318a75d7dd5a2b70471ae_1630738608033.m3u8,613318a75d7dd5a2b70471ae,libx264,HLS_APPENDS,Success,Success encoding video,2021-09-04 07:45:17.991,2021-09-04 07:45:17.991,0
61332414f9aa45d9911b234b,file_course_datas,61331b908bac3842c88fde58_1630739354413.m3u8,61331b908bac3842c88fde58,libx264,HLS_APPENDS,Success,Success encoding video,2021-09-04 07:45:24.915,2021-09-04 07:45:24.915,0
6133242df2f27ed57afb7052,file_course_datas,61331b662c558b9cddc9baeb_1630739304597.m3u8,61331b662c558b9cddc9baeb,libx264,HLS_APPENDS,Success,Success encoding video,2021-09-04 07:45:49.123,2021-09-04 07:45:49.123,0
61332453a9757fc86daf7cb1,file_course_datas,61331bc6c1ba18a2d63c188d_1630739407816.m3u8,61331bc6c1ba18a2d63c188d,libx264,HLS_APPENDS,Success,Success encoding video,2021-09-04 07:46:27.839,2021-09-04 07:46:27.839,0
61332460f9aa45d9911b2359,file_course_datas,613324078bac3842c88fecac_1630741513576.m3u8,613324078bac3842c88fecac,libx264,HLS_APPENDS,Stop Encoding,Success Stop encoding video,2021-09-04 07:46:40.866,2021-09-04 07:46:40.866,0
